14.85	3084.66	328.051	336.61	2805.83	638.946	325.235	0	0	0	0	0	0
14.9	3087.65	595.883	313.81	3085.2	312.309	330.24	2802.82	322.269	336.902	2810.76	598.81	308.97
14.95	3092.06	593.646	311.204	3088.26	311.989	334.415	2806.01	321.588	335.134	2811.13	599.5	309.653
15	3092.15	593.606	311.239	3088.36	311.893	334.426	2806.31	321.743	334.899	2811.17	599.482	309.625
15.05	3092.12	593.659	311.181	3088.34	311.989	334.392	2806.29	321.87	334.823	2811.12	599.369	309.642
15.1	3092.08	593.511	311.384	3088.37	311.949	334.488	2806.28	321.706	335.007	2811.15	599.38	309.765
15.15	3092.06	593.648	311.087	3088.3	312.098	334.439	2806.25	321.856	334.848	2811.06	599.175	309.78
15.2	3092.14	593.691	311.174	3088.35	311.96	334.349	2806.27	321.746	334.907	2811.23	599.349	309.719
15.25	3092.05	593.564	311.201	3088.32	312.104	334.49	2806.02	321.596	335.136	2811.1	599.354	309.753
15.3	3092.18	593.749	311.135	3088.34	311.952	334.369	2806.04	321.688	334.933	2811.18	599.551	309.639
15.35	3092.08	593.648	311.112	3088.29	312.146	334.365	2806.09	321.585	334.995	2811.07	599.305	309.635
15.4	3092.17	593.664	311.271	3088.35	311.885	334.43	2806.33	321.734	334.949	2811.19	599.382	309.769
15.45	3092.18	593.792	311.109	3088.34	311.994	334.364	2806.3	321.783	334.786	2811.15	599.387	309.717
15.5	3092.12	593.711	311.185	3088.33	312.025	334.349	2806.29	321.697	334.836	2811.15	599.398	309.674
15.55	3092.07	593.59	311.249	3088.38	312.467	334.807	2806.27	321.736	334.972	2811.1	599.153	309.898
15.6	3092.15	593.779	311.094	3088.35	312.05	334.312	2806.23	321.762	334.862	2811.12	599.315	309.732
15.65	3092.09	593.626	311.135	3088.32	312.063	334.308	2806.05	321.582	335.031	2811.06	599.38	309.721
15.7	3092.21	593.651	311.313	3088.33	312.035	334.475	2806.04	321.58	335.12	2811.13	599.492	309.721
15.75	3092.08	593.681	311.032	3088.3	312.219	334.361	2806.04	321.607	334.922	2811.03	599.369	309.696
15.8	3092.19	593.771	311.122	3088.3	311.954	334.311	2806.28	321.783	334.912	2811.1	599.353	309.726
15.85	3092.15	593.677	311.223	3088.33	312.005	334.398	2806.33	321.762	334.948	2811.11	599.357	309.779
15.9	3092.17	593.803	311.161	3088.32	312.093	334.376	2806.3	321.886	334.812	2811.13	599.409	309.709
15.95	3092.1	593.694	311.152	3088.3	312.066	334.311	2806.26	321.728	334.911	2811.02	599.205	309.915
16	3092.14	593.766	311.198	3088.32	312.1	334.382	2806.2	321.681	335.002	2811.14	599.334	309.802
16.05	3092.07	593.678	311.125	3088.3	312.175	334.31	2806.03	321.621	334.969	2811.16	599.312	309.824
16.1	3092.21	593.76	311.196	3088.33	312.113	334.387	2805.96	321.539	335.155	2811.16	599.52	309.741
